Asset_ID,Revenue,Profit_Margin,Debt_to_Equity,Return_on_Assets,Market_Cap
Asset_1,202,0.08899863008405066,0.3567663137948074,0.12207287498109178,741
Asset_2,535,0.06452090304204987,0.5259391401433527,0.045957591680586767,2541
Asset_3,960,0.2665440364437338,0.834659004285133,0.08685047699376952,3324
Asset_4,370,0.20027875293580222,0.704723026098962,0.09701389395206553,3112
Asset_5,206,0.22701814444901136,0.5077207962772586,0.026038553653599705,1863
Asset_6,171,0.055146123573950614,0.9565940526113312,0.098980830747187,1978
Asset_7,800,0.2924774630404986,0.29529140491285855,0.0421681360793479,3056
Asset_8,120,0.2581106602001054,0.5090025079493053,0.028456707088086338,1275
Asset_9,714,0.10308477766956904,0.6129065806111683,0.1433551198429333,4514
Asset_10,221,0.09545624180177516,0.7384979779038502,0.1455321642996927,534
